"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"165","<p> Total Tokens for current block: -1702.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","73","244799","0.0-73.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"173","<p> Total Tokens for current block: -1803.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","74","244973","0.0-74.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-96",""
"158","<p> Total Tokens for current block: -1899.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","75","245133","0.0-75.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"166","<p> Total Tokens for current block: -2000.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","76","245300","0.0-76.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-95",""
"160","<p> Total Tokens for current block: -2095.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","77","245462","0.0-77.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-105",""
"158","<p> Total Tokens for current block: -2200.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","78","245621","0.0-78.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-97",""
"173","<p> Total Tokens for current block: -2297.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","79","245795","0.0-79.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-98",""
"126","<p> Total Tokens for current block: -2395.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","80","245923","0.0-80.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"165","<p> Total Tokens for current block: -2499.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","81","246090","0.0-81.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"153","<p> Total Tokens for current block: -2599.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","82","246244","0.0-82.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-96",""
